timestamp,OAT,Electricity:Facility [kWh](TimeStep),HVAC_Elec
2023/ 01/02  01:45:00,11.21,1.915984146,1.744051191
2023/ 01/02  02:00:00,10.94,1.915984146,1.744051191
2023/ 01/02  02:15:00,10.94,1.910853202,1.744051191
2023/ 01/02  02:30:00,10.94,1.910853202,1.744051191
2023/ 01/02  02:45:00,10.94,1.910853202,1.744051191
2023/ 01/02  03:00:00,10.94,1.910853202,1.744051191
2023/ 01/02  03:15:00,10.94,1.907043498,1.744051191
2023/ 01/02  03:30:00,10.94,1.907043498,1.744051191
2023/ 01/02  03:45:00,10.94,1.907043498,1.744051191
2023/ 01/02  04:00:00,10.94,1.907043498,1.744051191
2023/ 01/02  04:15:00,10.715,1.917013365,1.744051191
2023/ 01/02  04:30:00,10.49,1.917013365,1.744051191
2023/ 01/02  04:45:00,10.265,1.917013365,1.744051191
2023/ 01/02  05:00:00,10.04,1.917013365,1.744051191
2023/ 01/02  05:15:00,10.265,1.954042835,1.744051191
2023/ 01/02  05:30:00,10.49,1.954042835,1.744051191
2023/ 01/02  05:45:00,10.715,1.954042835,1.744051191
2023/ 01/02  06:00:00,10.94,1.954042835,1.744051191
2023/ 01/02  06:15:00,10.94,1.983529445,1.744051191
2023/ 01/02  06:30:00,10.94,1.983529445,1.744051191
2023/ 01/02  06:45:00,10.94,2.094843173,1.746748515
2023/ 01/02  07:00:00,10.94,2.095253163,1.746748515
2023/ 01/02  07:15:00,11.21,2.122672529,1.746748515
2023/ 01/02  07:30:00,11.48,2.123008893,1.746748515
2023/ 01/02  07:45:00,11.75,2.123390276,1.746748515
2023/ 01/02  08:00:00,12.02,2.123806885,1.746748515
2023/ 01/02  08:15:00,12.245,2.09645306,1.746748515
2023/ 01/02  08:30:00,12.47,2.096825818,1.746748515
2023/ 01/02  08:45:00,12.695,2.097231785,1.746748515
2023/ 01/02  09:00:00,12.92,2.097610666,1.746748515
2023/ 01/02  09:15:00,13.685,2.088291931,1.746748515
2023/ 01/02  09:30:00,14.45,2.015014453,1.745030843
2023/ 01/02  09:45:00,15.215,1.97310508,1.744051191
2023/ 01/02  10:00:00,15.98,1.97310508,1.744051191
2023/ 01/02  10:15:00,16.25,1.978097639,1.744051191
2023/ 01/02  10:30:00,16.52,1.978097639,1.744051191
2023/ 01/02  10:45:00,16.79,1.915526577,1.681480129
2023/ 01/02  11:00:00,17.06,1.722680734,1.488634286
2023/ 01/02  11:15:00,17.555,1.837842243,1.526911479
2023/ 01/02  11:30:00,18.05,1.877363457,1.529007354
2023/ 01/02  11:45:00,18.545,1.855296549,1.506249856
2023/ 01/02  12:00:00,19.04,1.863802714,1.514088398
2023/ 01/02  12:15:00,19.535,1.821720272,1.475661628
2023/ 01/02  12:30:00,20.03,1.784403467,1.437650293
2023/ 01/02  12:45:00,20.525,1.737541402,1.396721546
2023/ 01/02  13:00:00,21.02,1.3778281,1.144900102
2023/ 01/02  13:15:00,21.02,1.366789016,1.1384557
2023/ 01/02  13:30:00,21.02,1.365405877,1.137072561
2023/ 01/02  13:45:00,21.02,1.383412589,1.155079273
2023/ 01/02  14:00:00,21.02,1.403587069,1.175253753
2023/ 01/02  14:15:00,21.02,1.430746993,1.202767428
2023/ 01/02  14:30:00,21.02,1.483013794,1.255034229
2023/ 01/02  14:45:00,21.02,1.49956253,1.271582965
2023/ 01/02  15:00:00,21.02,1.505313805,1.27733424
2023/ 01/02  15:15:00,21.02,1.504374757,1.258119816
2023/ 01/02  15:30:00,21.02,1.849625193,1.492354764
2023/ 01/02  15:45:00,21.02,1.856804106,1.498668457
2023/ 01/02  16:00:00,21.02,1.86633051,1.507355012
2023/ 01/02  16:15:00,21.245,1.933215484,1.511528383
2023/ 01/02  16:30:00,21.47,1.965867553,1.543419572
2023/ 01/02  16:45:00,21.695,1.767345269,1.416282647
2023/ 01/02  17:00:00,21.92,1.649434171,1.341265356
2023/ 01/02  17:15:00,22.19,1.707416982,1.321676498
2023/ 01/02  17:30:00,22.46,1.714619961,1.328879478
2023/ 01/02  17:45:00,22.73,1.716029359,1.330288876
2023/ 01/02  18:00:00,23,1.736896594,1.35115611
2023/ 01/02  18:15:00,23,1.712624414,1.28919432
2023/ 01/02  18:30:00,23,1.710561287,1.287131193
2023/ 01/02  18:45:00,23,1.709505115,1.286075021
