,pred,actual,mape,,,,
0,92.4812,103.4237061,0.105802688,2.323510713,,,
1,94.57243,106.7848958,0.114365104,,,,
2,94.07362,112.0060983,0.160102696,,535566.3168,504510.2757,6.16%
3,97.29191,110.2661409,0.117662873,,,,
4,98.38132,101.3008859,0.028820734,,,,
5,96.34092,110.7127048,0.129811522,,,,
6,118.612686,86.26465728,0.374985884,,,,
7,119.06001,61.8166098,0.926019728,,,,
8,117.48989,161.5844076,0.272888444,,,,
9,119.20295,161.5912091,0.262317853,,,,
10,119.31918,157.3066682,0.241486827,,,,
11,117.09507,148.1980296,0.209874313,,,,
12,145.14049,140.4480905,0.033410205,,,,
13,143.92223,124.6631895,0.154488591,,,,
14,141.40758,132.6607829,0.065933556,,,,
15,141.46237,133.4573909,0.059981535,,,,
16,140.45096,135.3074891,0.038013202,,,,
17,137.8907,133.5150928,0.032772379,,,,
18,136.43416,112.6656044,0.2109655,,,,
19,135.67188,91.20200881,0.487597497,,,,
20,133.34677,105.2052914,0.267491095,,,,
21,134.04239,113.4859863,0.181136053,,,,
22,133.31532,110.766392,0.203571928,,,,
23,130.92018,114.9793751,0.138640559,,,,
24,120.46761,113.8692703,0.057946623,,,,
25,120.74727,125.5094964,0.037943156,,,,
26,119.10132,120.5786108,0.012251682,,,,
27,120.69809,129.1730719,0.06560951,,,,
28,120.67878,144.1381293,0.162756027,,,,
29,118.468155,117.606774,0.007324246,,,,
30,118.32695,113.7691539,0.040061791,,,,
31,118.55366,104.5236617,0.134227964,,,,
32,116.821594,130.3085387,0.103500084,,,,
33,118.69654,131.6503937,0.09839586,,,,
34,118.602196,135.0429146,0.1217444,,,,
35,116.4749,119.5647049,0.025842116,,,,
36,120.570984,119.0912102,0.01242555,,,,
37,120.70498,127.3569538,0.052230943,,,,
38,118.92821,114.4838529,0.03882082,,,,
39,120.592705,103.5495276,0.16458962,,,,
40,120.46381,124.2594331,0.030545955,,,,
41,118.28076,120.3343753,0.017065907,,,,
42,122.94875,134.1845505,0.083733936,,,,
43,122.99647,136.5951026,0.09955432,,,,
44,121.21151,165.7732468,0.268811389,,,,
45,122.687904,137.9504675,0.110637998,,,,
46,122.51982,131.3986486,0.067571689,,,,
47,120.28488,155.5521106,0.226722932,,,,
48,155.31927,125.7960731,0.234690926,,,,
49,153.71814,122.6460585,0.253347575,,,,
50,150.8202,130.9461762,0.151772464,,,,
51,150.10393,131.8691681,0.138279191,,,,
52,148.83182,130.5232874,0.140270238,,,,
53,146.16833,114.196198,0.279975451,,,,
54,116.44946,157.5981614,0.261098867,,,,
55,116.860374,138.1853982,0.154321835,,,,
56,115.19988,140.2580472,0.178657608,,,,
57,117.12653,119.0413798,0.016085582,,,,
58,117.16355,122.6717939,0.044902285,,,,
59,115.019035,133.9702068,0.141458106,,,,
60,136.76164,169.0024746,0.190771376,,,,
61,136.07082,186.3474553,0.269800493,,,,
62,133.787,219.4302498,0.390298283,,,,
63,134.33328,221.9783003,0.394835982,,,,
64,133.6658,252.312549,0.47023721,,,,
65,131.22551,259.8058833,0.494909398,,,,
66,285.50226,233.5124118,0.222642762,,,,
67,276.39508,330.6007121,0.163961027,,,,
68,270.42664,239.1974545,0.130558185,,,,
69,259.49677,240.8120672,0.077590393,,,,
70,254.63544,260.3022467,0.021770103,,,,
71,252.02301,254.3698552,0.009226114,,,,
72,266.9495,259.5899146,0.028350814,,,,
73,258.69965,224.1829417,0.153966703,,,,
74,252.91658,202.3990783,0.249593536,,,,
75,243.50691,202.6420405,0.201660373,,,,
76,238.96841,171.6122902,0.39249007,,,,
77,236.55966,172.2564832,0.373299023,,,,
78,171.14305,151.6423542,0.12859663,,,,
79,167.96596,183.2340928,0.08332583,,,,
80,164.3604,166.9295537,0.015390646,,,,
81,161.87662,170.9160528,0.052888144,,,,
82,160.1629,145.1295122,0.103586015,,,,
83,157.42331,148.8599567,0.057526238,,,,
84,147.9027,149.5137544,0.010775292,,,,
85,146.49692,149.7299142,0.021592173,,,,
86,143.67123,146.1844181,0.017191901,,,,
87,143.30452,148.1892212,0.032962594,,,,
88,142.20221,161.112978,0.117375821,,,,
89,139.66534,171.9068911,0.187552406,,,,
90,164.32571,150.884937,0.089079621,,,,
91,162.24623,238.8700084,0.320776053,,,,
92,158.9876,173.4489563,0.083375286,,,,
93,157.37244,154.4533595,0.01889943,,,,
94,155.7762,189.4020852,0.177537038,,,,
95,153.16583,160.2115306,0.043977488,,,,
96,155.55882,196.7288167,0.209272833,,,,
97,153.69037,194.2035642,0.208612001,,,,
98,150.57373,175.705119,0.143031627,,,,
99,149.61919,148.9715183,0.004347621,,,,
100,148.22438,185.1985042,0.199645911,,,,
101,145.71521,156.2660534,0.067518461,,,,
102,149.99825,12.93192235,10.59906825,,,,
103,148.35039,36.04929451,3.115209244,,,,
104,145.384,59.16666666,1.457194366,,,,
105,144.81316,86.01523633,0.68357568,,,,
106,143.59355,92.26523633,0.556312602,,,,
107,141.11505,98.51523633,0.43241853,,,,
108,115.08576,124.166206,0.07313138,,,,
109,115.946236,71.04975124,0.631902068,,,,
110,114.6721,85.28380823,0.344594037,,,,
111,116.41334,71.86341022,0.619925072,,,,
112,116.84399,69.20812604,0.688298711,,,,
113,115.100945,90.6768242,0.269353509,,,,
114,104.20483,59.12797126,0.762360991,,,,
115,105.54485,28.57142857,2.69406975,,,,
116,104.59569,45.58079312,1.294731681,,,,
117,107.011955,34.37049062,2.113483488,,,,
118,107.96773,36.14087302,1.987413446,,,,
119,106.103355,34.47420635,2.077760628,,,,
120,34.47958,29.82503607,0.156061636,,,,
121,38.660496,28.30988456,0.365618285,,,,
122,40.03898,26.79473304,0.49428546,,,,
123,44.517563,27.80753968,0.600917,,,,
124,46.99449,21.78406085,1.15728786,,,,
125,46.56266,22.22222222,1.0953197,,,,
126,33.583996,17.74059274,0.893059408,,,,
127,37.58979,19.98140748,0.881238348,,,,
128,38.399532,22.22222222,0.72797894,,,,
129,42.81912,22.22222222,0.9268604,,,,
130,44.81988,20,1.240994,,,,
131,44.53155,25,0.781262,,,,
132,31.233133,21.15564932,0.476349533,,,,
133,34.80277,19.30379747,0.802897594,,,,
134,35.67845,17.45194561,1.044382374,,,,
135,39.86239,12.76371308,2.123102952,,,,
136,41.583183,13.74824191,2.024618222,,,,
137,41.61995,9.733410045,3.27598856,,,,
138,21.776653,9.040084388,1.408899305,,,,
139,25.380169,7.373417722,2.442117341,,,,
140,26.284369,5.706751055,3.605837673,,,,
141,29.853666,5.050105485,4.91149355,,,,
142,31.674618,2.373417722,12.34557238,,,,
143,32.0263,0.883438819,35.25185958,,,,
144,6.1067023,0.883438819,5.912422424,,,,
145,9.74757,0.883438819,10.03366729,,,,
146,10.122537,0.883438819,10.45810755,,,,
147,14.420255,0.883438819,15.32286775,,,,
148,15.177088,0.883438819,16.17955752,,,,
149,16.31433,0.883438819,17.46684757,,,,
150,1.5514941,0.883438819,0.756198695,,,,
151,5.398153,0.883438819,5.110386918,,,,
152,5.639068,0.883438819,5.383088315,,,,
153,10.28762,0.883438819,10.64497165,,,,
154,10.848958,0.883438819,11.28037276,,,,
155,12.038773,0.883438819,12.6271723,,,,
156,0.7432359,0.883438819,0.158701334,,,,
157,4.6242156,0.883438819,4.234335986,,,,
158,4.867304,0.883438819,4.509497542,,,,
159,9.556728,0.883438819,9.817645544,,,,
160,10.149283,0.883438819,10.48838243,,,,
161,11.317421,0.883438819,11.8106449,,,,
162,0.8709688,0.883438819,0.014115317,,,,
163,4.7418885,0.883438819,4.367534684,,,,
164,4.9813137,0.883438819,4.638549716,,,,
165,9.661258,0.883438819,9.935967264,,,,
166,10.242079,0.883438819,10.59342196,,,,
167,11.421309,0.883438819,11.92823992,,,,
168,0.1299882,0.883438819,0.852861118,,,,
169,4.0467324,0.883438819,3.580659481,,,,
170,4.2994175,0.883438819,3.866683928,,,,
171,9.025933,0.883438819,9.216817294,,,,
172,9.652939,0.883438819,9.926550652,,,,
173,10.796153,0.883438819,11.22060065,,,,
174,-0.2922281,0.883438819,1.330784763,,,,
175,3.6658523,0.883438819,3.149525946,,,,
176,3.9256392,0.883438819,3.443589208,,,,
177,8.648394,0.883438819,8.789465685,,,,
178,9.330696,0.883438819,9.561790815,,,,
179,10.4411745,0.883438819,10.81878618,,,,
180,-0.31302273,0.883438819,1.354323042,,,,
181,3.6660278,0.883438819,3.149724602,,,,
182,3.9342966,0.883438819,3.453388868,,,,
183,8.658057,0.883438819,8.800403624,,,,
184,9.364006,0.883438819,9.599495746,,,,
185,10.453103,0.883438819,10.83228853,,,,
186,-0.2922281,0.883438819,1.330784763,,,,
187,3.6658523,0.883438819,3.149525946,,,,
188,3.9256392,0.883438819,3.443589208,,,,
189,8.648394,0.883438819,8.789465685,,,,
190,9.330696,0.883438819,9.561790815,,,,
191,10.4411745,0.883438819,10.81878618,,,,
192,0.12325634,0.883438819,0.860481182,,,,
193,4.036818,0.883438819,3.569436972,,,,
194,4.284056,0.883438819,3.849295627,,,,
195,8.989766,0.883438819,9.175878409,,,,
196,9.628792,0.883438819,9.89921769,,,,
197,10.772901,0.883438819,11.19428077,,,,
198,-0.11242518,0.883438819,1.127258592,,,,
199,3.8153975,0.883438819,3.318802185,,,,
200,4.06574,0.883438819,3.602174949,,,,
201,8.789192,0.883438819,8.948840615,,,,
202,9.431198,0.883438819,9.675553079,,,,
203,10.569511,0.883438819,10.96405544,,,,
204,0.5689946,0.883438819,0.355932083,,,,
205,4.4579983,17.78942308,0.74940175,,,,
206,4.701575,17.78942308,0.735709529,,,,
207,9.398939,17.78942308,0.471655772,,,,
208,9.996333,17.78942308,0.438074357,,,,
209,11.160356,17.78942308,0.372640925,,,,
210,25.220503,17.78942308,0.417724616,,,,
211,28.70381,17.78942308,0.613532371,,,,
212,29.554113,17.78942308,0.661330605,,,,
213,33.206963,17.78942308,0.866668911,,,,
214,34.976353,17.78942308,0.966131945,,,,
215,35.217438,17.78942308,0.979684099,,,,
216,25.841887,17.78942308,0.452654585,,,,
217,29.648355,17.78942308,0.666628247,,,,
218,30.677437,17.78942308,0.724476216,,,,
219,34.660347,17.78942308,0.948368244,,,,
220,36.450592,17.78942308,1.049003604,,,,
221,36.54077,17.78942308,1.054072796,,,,
222,26.182468,17.78942308,0.471799725,,,,
223,30.048723,17.78942308,0.689134204,,,,
224,31.056187,17.78942308,0.745766957,,,,
225,35.109314,17.78942308,0.973606105,,,,
226,36.852425,17.78942308,1.071591914,,,,
227,36.932617,17.78942308,1.076099761,,,,
228,26.19825,17.78942308,0.472686882,,,,
229,30.07329,17.78942308,0.690515193,,,,
230,31.063929,17.78942308,0.74620216,,,,
231,35.138847,17.78942308,0.975266249,,,,
232,36.86417,17.78942308,1.072252137,,,,
233,36.944893,17.78942308,1.076789834,,,,
234,25.732616,17.78942308,0.446512115,,,,
235,29.628914,17.78942308,0.665535406,,,,
236,30.582596,17.78942308,0.719144902,,,,
237,34.735065,17.78942308,0.95256838,,,,
238,36.42198,17.78942308,1.047395232,,,,
239,36.51228,17.78942308,1.052471282,,,,
240,25.881668,17.78942308,0.454890801,,,,
241,29.766405,17.78942308,0.673264212,,,,
242,30.721272,17.78942308,0.726940321,,,,
243,34.854122,17.78942308,0.959260952,,,,
244,36.53903,17.78942308,1.053974985,,,,
245,36.630962,17.78942308,1.059142775,,,,
246,25.333889,17.78942308,0.424098403,,,,
247,29.2075,17.78942308,0.641846386,,,,
248,30.112288,17.78942308,0.692707395,,,,
249,34.333706,17.78942308,0.930006715,,,,
250,35.962715,17.78942308,1.021578487,,,,
251,36.072517,17.78942308,1.027750807,,,,
252,25.573936,17.78942308,0.437592208,,,,
253,29.41756,17.78942308,0.653654526,,,,
254,30.309727,17.78942308,0.703806069,,,,
255,34.511856,17.78942308,0.940021093,,,,
256,36.105537,17.78942308,1.029606966,,,,
257,36.229378,17.78942308,1.036568462,,,,
258,24.85464,17.78942308,0.397158294,,,,
259,28.678816,18.4683138,0.552865969,,,,
260,29.528828,18.4683138,0.598891394,,,,
261,33.84101,18.4683138,0.832382229,,,,
262,35.39346,18.4683138,0.91644242,,,,
263,35.527287,18.4683138,0.923688724,,,,
264,25.517298,18.4683138,0.381679902,,,,
265,29.361048,18.4683138,0.589806645,,,,
266,30.209818,18.4683138,0.63576482,,,,
267,34.541317,18.4683138,0.870301608,,,,
268,36.057655,18.4683138,0.952406451,,,,
269,36.186222,18.4683138,0.959367942,,,,
270,24.73304,21.80255168,0.134410337,,,,
271,28.559381,25.13678957,0.136158654,,,,
272,29.37566,119.1102757,0.753374259,,,,
273,33.811787,124.2384808,0.72784771,,,,
274,35.31186,124.2384808,0.715773569,,,,
275,35.43924,124.2384808,0.714748283,,,,
276,149.76053,124.2384808,0.205427892,,,,
277,148.63028,124.2384808,0.196330469,,,,
278,145.85501,124.2384808,0.173992221,,,,
279,145.62242,124.2384808,0.172120096,,,,
280,144.75554,124.2384808,0.165142547,,,,
281,142.60724,124.2384808,0.147850803,,,,
282,139.49905,81.19540672,0.718065783,,,,
283,138.60652,79.04545608,0.753503957,,,,
284,136.11581,5.594405594,23.33070104,,,,
285,137.07628,5.594405594,23.50238505,,,,
286,135.99467,5.594405594,23.30904726,,,,
287,133.79036,58.23863636,1.297278377,,,,
288,102.47273,158.2386364,0.3524165,,,,
289,103.79112,251.4204545,0.587181082,,,,
290,102.64056,292.834596,0.649493054,,,,
291,104.422,329.1982323,0.682799026,,,,
292,104.74622,365.5618687,0.713465137,,,,
293,104.05316,401.9255051,0.741113319,,,,
294,435.6781,401.7650463,0.084410165,,,,
295,418.42056,436.4241372,0.041252478,,,,
296,410.4162,471.0832281,0.128781974,,,,
297,386.33533,476.8675418,0.189847712,,,,
298,377.89435,476.8675418,0.207548602,,,,
299,375.76654,423.4821252,0.112674378,,,,
300,422.88165,331.8154585,0.274448309,,,,
301,406.2104,270.1256437,0.503783182,,,,
302,398.43967,208.4358289,0.911569964,,,,
303,375.52612,175.1024955,1.144607471,,,,
304,367.19678,141.7691622,1.590103336,,,,
305,365.2038,143.6470965,1.542368129,,,,
306,178.58847,117.4245527,0.520878436,,,,
307,175.73584,91.20200881,0.926885628,,,,
308,171.8081,274.849748,0.374901737,,,,
309,170.16696,302.3987676,0.437276278,,,,
310,167.91852,335.7321009,0.499843716,,,,
311,165.40976,369.0654343,0.551814544,,,,
312,403.78513,370.3115402,0.090393051,,,,
313,388.17697,425.1565014,0.086978633,,,,
314,380.7392,477.5239257,0.202680369,,,,
315,359.67722,510.857259,0.295934014,,,,
316,352.08673,544.1905923,0.353008422,,,,
317,349.80975,542.3126581,0.354966651,,,,
318,526.824,483.9793247,0.088525838,,,,
319,503.99402,446.2189081,0.129477059,,,,
320,494.38214,408.4584914,0.210360784,,,,
321,462.00403,408.4584914,0.13109175,,,,
322,450.37726,408.4584914,0.102626753,,,,
323,448.7441,408.4584914,0.098628403,,,,
324,433.1468,440.5457188,0.016794894,,,,
325,415.80637,419.0340909,0.007702764,,,,
326,407.89322,400,0.01973305,,,,
327,384.00235,400,0.039994125,,,,
328,375.51224,400,0.0612194,,,,
329,373.438,400,0.066405,,,,
330,426.3247,400,0.06581175,,,,
331,409.36154,400,0.02340385,,,,
332,401.52713,400,0.003817825,,,,
333,378.29276,400,0.0542681,,,,
334,369.98718,400,0.07503205,,,,
335,367.8888,400,0.080278,,,,
336,426.25415,400,0.065635375,,,,
337,409.29333,400,0.023233325,,,,
338,401.46515,400,0.003662875,,,,
339,378.2374,400,0.0544065,,,,
340,369.93304,400,0.0751674,,,,
341,367.83517,400,0.080412075,,,,
342,428.3309,400,0.07082725,,,,
343,411.23288,400,0.0280822,,,,
344,403.40088,400,0.0085022,,,,
345,379.9898,400,0.0500255,,,,
346,371.62057,400,0.070948575,,,,
347,369.52005,400,0.076199875,,,,
348,427.63806,400,0.06909515,,,,
349,410.54767,400,0.026369175,,,,
350,402.73734,400,0.00684335,,,,
351,379.37512,400,0.0515622,,,,
352,371.0184,396.4015152,0.06403385,,,,
353,368.9236,388.0681818,0.049333037,,,,
354,415.02798,379.7348485,0.092941513,,,,
355,398.60522,330.6007121,0.205699823,,,,
356,390.94864,363.0681818,0.076791246,,,,
357,368.78677,354.7348485,0.039612464,,,,
358,360.72806,346.4015152,0.041358205,,,,
359,358.61206,338.0681818,0.060768446,,,,
360,369.7514,329.7348485,0.121359789,,,,
361,355.66763,321.4015152,0.106614665,,,,
362,348.51926,312.9399767,0.113693634,,,,
363,330.52502,304.6066434,0.085088021,,,,
364,323.57062,299.8717949,0.079029857,,,,
365,321.32693,299.8717949,0.071547693,,,,
366,329.53275,294.7536846,0.117993658,,,,
367,317.58405,183.2340928,0.733214846,,,,
368,310.86835,231.0117123,0.345682204,,,,
369,296.3998,278.7893317,0.063167655,,,,
370,290.39386,271.7645383,0.068549494,,,,
371,288.038,263.8158203,0.091814735,,,,
372,285.32968,255.482487,0.116826767,,,,
373,276.14713,247.1491537,0.117329863,,,,
374,270.028,238.9440255,0.130088938,,,,
375,259.3049,225.2028907,0.151427938,,,,
376,254.33127,200.2028907,0.270367621,,,,
377,252.00885,175.2028907,0.438382946,,,,
378,181.55019,155.3210009,0.168870848,,,,
379,177.70511,135.3031774,0.313384603,,,,
380,173.64926,115.2853539,0.506256034,,,,
381,170.8469,96.28535391,0.774380973,,,,
382,168.6796,78.3101473,1.153994161,,,,
383,165.97707,61.25886525,1.709437554,,,,
384,76.276085,44.59219858,0.710525326,,,,
385,79.07557,27.92553191,1.831658507,,,,
386,78.940445,11.25886525,6.011403303,,,,
387,82.90032,11.25886525,6.363115035,,,,
388,84.549194,11.25886525,6.509566206,,,,
389,82.76257,11.25886525,6.350880232,,,,
390,32.465565,11.25886525,1.883555694,,,,
391,36.306652,31.51045802,0.152209593,,,,
392,37.19977,51.76205079,0.281331218,,,,
393,40.7857,72.01364356,0.433639266,,,,
394,42.602596,92.26523633,0.538259504,,,,
395,42.64736,98.51523633,0.567098841,,,,
396,116.95635,98.51523633,0.187190473,,,,
397,117.82862,98.51523633,0.196044636,,,,
398,116.539024,98.51523633,0.182954316,,,,
399,118.151085,98.51523633,0.199317886,,,,
400,118.502846,98.51523633,0.202888512,,,,
401,116.88842,98.51523633,0.186500935,,,,
402,107.60355,59.12797126,0.819841738,,,,
403,108.7937,28.57142857,2.8077795,,,,
404,107.669945,45.58079312,1.362177962,,,,
405,110.12186,45.58079312,1.415970685,,,,
406,110.656425,36.14087302,2.061808301,,,,
407,108.49825,36.14087302,2.002092671,,,,
408,34.073708,36.14087302,0.057197429,,,,
409,38.261642,36.14087302,0.058680624,,,,
410,39.607273,36.14087302,0.095913565,,,,
411,44.19916,36.14087302,0.222968797,,,,
412,46.65968,36.14087302,0.291050163,,,,
413,46.211826,36.14087302,0.278658265,,,,
414,34.42739,36.14087302,0.047411224,,,,
415,38.61504,30.34941249,0.272348847,,,,
416,39.882042,30.34941249,0.314096015,,,,
417,44.294037,30.34941249,0.459469339,,,,
418,46.70794,20,1.335397,,,,
419,46.34541,20,1.3172705,,,,
420,30.342964,21.15564932,0.434272403,,,,
421,34.67481,21.15564932,0.639033124,,,,
